gene_id,description,descr_score,best_score,pfam_acc
AH-611-D06_NODE_8_31,SCP-2 sterol transfer family protein,712,767,
AH-611-D06_NODE_8_33,"Transmembrane protein, putative",153,166,
AH-611-D06_NODE_8_35,P-type ATPase N-terminal domain-containing protein,136,445,
AH-611-F04_NODE_13_13,AsmA domain-containing protein,819,819,PF05170
AH-611-F04_NODE_1_14,HD domain-containing protein,1026,1026,PF01966
AH-611-F04_NODE_1_21,SCP2 domain-containing protein,719,767,
AH-611-F04_NODE_1_23,Inner-membrane translocator,604,604,
AH-611-F04_NODE_1_25,F-box domain-containing protein,131,446,
AH-611-F04_NODE_1_32,Cyclin,107,190,
AH-611-I23_NODE_4_6,Exonuclease VII small subunit,279,279,
AH-611-I23_NODE_4_43,"Outer membrane protein assembly factor BamD, BamD/ComL family",119,119,"PF12895,PF13181,PF13414,PF13432"
AH-611-J11_NODE_3_15,Lycopene cyclase domain-containing protein,408,483,
AH-611-J11_NODE_3_22,DoxX family protein,924,924,
AH-611-J11_NODE_3_31,DUF4345 domain-containing protein,350,814,
AH-611-J11_NODE_3_35,SAF domain-containing protein,1198,1198,
AH-611-J11_NODE_3_36,Spore coat protein Z,333,713,
AH-611-J11_NODE_3_45,Peptidase,697,697,
AH-611-J11_NODE_3_51,Bacterial spore germination immunoglobulin-like domain-containing protein,946,946,
AH-611-J11_NODE_3_56,Protein kinase family protein,72,72,
AH-611-J16_NODE_2_26,AsmA domain-containing protein,1987,1987,
AH-611-J16_NODE_2_35,Outer membrane lipoprotein BamD-like domain-containing protein,368,368,PF13525
AH-611-J16_NODE_2_38,Cell division protein FtsQ,401,443,"PF08478,PF03799"
AH-611-J16_NODE_2_39,POTRA domain-containing protein,358,408,"PF08478,PF03799"
AH-611-J16_NODE_2_51,Cell division protein FtsL,136,136,
AH-611-J16_NODE_2_63,Prolyl 4-hydroxylase alpha subunit Fe(2+) 2OG dioxygenase domain-containing protein,1191,1191,
AH-611-J16_NODE_2_74,"DNA-binding transcriptional regulator, MarR family",641,641,PF12802
AH-611-J16_NODE_2_77,Accessory factor UbiK family protein,111,111,PF04380
AH-611-J16_NODE_2_95,Protein family PM-16,78,78,
AH-611-L08_NODE_22_1,EamA domain-containing protein,239,239,
AH-611-L08_NODE_22_3,RHS repeat-associated core domain-containing protein,102,102,
AH-611-L08_NODE_22_4,RidA family protein,1120,1120,
AH-611-L08_NODE_22_9,Urease accessory protein UreH-like transmembrane domain-containing protein,118,118,PF13386
AH-611-L08_NODE_22_10,Na+/H+ antiporter subunit G,97,97,"PF03334,PF00582"
AH-611-M09_NODE_10_14,Zinc ribbon domain-containing protein,308,308,
AH-611-M09_NODE_10_20,Monosaccharide ABC transporter substrate-binding protein,1973,1973,PF13407
AH-611-M09_NODE_10_31,DUF4240 domain-containing protein,1291,1291,
AH-611-M09_NODE_10_32,TIR domain-containing protein,156,156,PF13676
AH-611-M09_NODE_10_37,Chemotaxis protein CheZ,830,830,
AH-611-M09_NODE_10_40,Preprotein translocase subunit YajC,578,741,
AH-611-M09_NODE_10_44,TIGR02444 family protein,456,610,
AH-611-M09_NODE_10_45,DUF4132 domain-containing protein,499,886,
AH-611-N07_NODE_3_19,Lipocalin-like domain-containing protein,960,960,
AH-611-N07_NODE_3_35,Mitochondrial import inner membrane translocase subunit TIM50,126,126,PF03031
AH-611-N07_NODE_3_36,CARDB domain-containing protein,2981,3865,
AH-611-N07_NODE_3_42,Cytochrome b561 bacterial/Ni-hydrogenase domain-containing protein,531,531,
AH-611-N07_NODE_3_43,YCII-related domain-containing protein,303,395,
AH-611-N07_NODE_3_45,Secretion system C-terminal sorting domain-containing protein,456,456,PF18962
AH-611-N07_NODE_3_59,YbbR-like domain-containing protein,1512,1512,PF07949
AH-611-N07_NODE_3_74,DUF4345 domain-containing protein,478,478,
AH-611-N07_NODE_3_80,DUF4476 domain-containing protein,906,906,
AH-611-N07_NODE_3_81,DUF4136 domain-containing protein,661,661,
AH-611-N07_NODE_3_82,DUF1501 domain-containing protein,1598,1598,
AH-611-N07_NODE_3_83,Cytochrome c domain-containing protein,1048,1181,
AH-611-N07_NODE_3_84,DUF4625 domain-containing protein,726,744,
AH-611-N07_NODE_3_85,PKD domain-containing protein,728,728,
AH-611-N07_NODE_3_89,Glycosyl hydrolase family 53,1353,1353,PF07745
AH-611-N13_NODE_4_10,Alpha/beta hydrolase,677,677,
AH-611-N13_NODE_4_15,Centromere protein C (Centromere autoantigen C) (Centromere protein C 1),213,241,
AH-611-N13_NODE_4_16,CopG family transcriptional regulator,139,139,
AH-611-N13_NODE_4_17,MATE family efflux transporter,1958,1958,PF01554
AH-611-N13_NODE_4_20,Mobile element protein,268,268,PF01609
AH-611-N13_NODE_4_26,tRNA dimethylallyltransferase (EC 2.5.1.75),194,194,"PF01715,PF12171"
AH-611-N13_NODE_4_28,Thioesterase family protein,1418,1418,"PF20789,PF13622"
AH-611-N13_NODE_4_37,UvrD-like helicase C-terminal domain-containing protein,84,109,
AH-611-N13_NODE_4_42,PilZ domain-containing protein,182,182,PF07238
AH-611-N13_NODE_4_46,ABM domain-containing protein,547,547,
AH-611-N13_NODE_4_47,Nuclear transport factor 2 family protein,847,847,PF12680
AH-611-N13_NODE_4_51,YtkA-like domain-containing protein,974,974,PF13115
AH-611-N13_NODE_4_52,DUF5666 domain-containing protein,445,445,
AH-611-N13_NODE_4_53,VWFA domain-containing protein,3900,3900,
AH-611-N13_NODE_4_62,Resolvase HTH domain-containing protein,264,391,
AH-611-N13_NODE_4_64,DUF1700 domain-containing protein,99,127,
AH-611-N13_NODE_4_68,PucR C-terminal helix-turn-helix domain-containing protein,99,137,
AH-611-N13_NODE_4_69,TolC family protein,117,122,
AH-611-N13_NODE_4_71,Recombinase zinc beta ribbon domain-containing protein,138,165,
AH-611-N13_NODE_4_75,DUF1579 domain-containing protein,612,615,
AH-611-N13_NODE_4_76,Recombinase domain-containing protein,191,191,"PF00239,PF07508,PF13408"
AH-611-N13_NODE_4_77,DUF3303 domain-containing protein,595,595,PF11746
AH-611-N13_NODE_4_80,DNA 3'-5' helicase (EC 5.6.2.4),533,533,"PF13361,PF00580,PF12705"
AH-611-N13_NODE_4_90,ABC transporter permease,970,970,PF12679
AH-611-N13_NODE_4_98,Calponin-homology (CH) domain-containing protein,151,151,"PF17095,PF11971"
AH-611-N13_NODE_4_101,Tetratricopeptide repeat protein,92,92,
AH-611-N13_NODE_4_108,VASt domain-containing protein,104,104,
AH-611-N13_NODE_4_111,Peroxidase-related enzyme,908,908,PF02627
AH-611-N13_NODE_4_112,CMD domain protein,568,568,
AH-611-N17_NODE_13_12,DUF1868 domain-containing protein,1020,1066,PF13563
AH-611-N17_NODE_13_16,YtxH domain-containing protein,180,189,
AH-611-N17_NODE_26_1,C2H2-type domain-containing protein,165,165,PF00096
AH-611-N17_NODE_26_5,Negative modulator of initiation of replication SeqA N-terminal domain-containing protein,328,328,PF17206
AH-611-N17_NODE_26_6,CGNR zinc finger domain-containing protein,306,306,
AH-611-N23_NODE_2_1,Immunoglobulin A1 protease (EC 3.4.24.13),141,560,
AH-611-N23_NODE_2_3,SH3 domain-containing protein,71,77,
AH-611-N23_NODE_2_11,AraC-type arabinose-binding/dimerisation domain-containing protein,763,763,
AH-611-N23_NODE_2_13,Ancillary SecYEG translocon subunit/Cell division coordinator CpoB TPR domain-containing protein,753,779,
AH-611-N23_NODE_2_31,Trichohyalin-plectin-homology domain-containing protein,511,511,
AH-611-N23_NODE_2_40,Tetratricopeptide repeat protein,422,531,
AH-611-N23_NODE_2_79,Exonuclease VII small subunit,282,282,
AH-611-O09_NODE_4_5,Exonuclease VII small subunit,274,274,
AH-611-O09_NODE_4_27,Solute-binding protein family 3/N-terminal domain-containing protein,1441,1441,PF00497
AH-611-O09_NODE_4_41,Ubiquitin-like domain-containing protein,119,158,
AH-611-O09_NODE_4_42,FecR protein domain-containing protein,1014,1016,
AH-611-O09_NODE_4_51,Tetratricopeptide repeat protein,378,554,
AH-611-O09_NODE_4_56,Tetratricopeptide repeat domain protein,688,688,"PF04212,PF00515,PF13181,PF07719"
AH-611-O09_NODE_4_60,Transporter,1163,1163,PF00892
AH-611-O09_NODE_4_71,AsmA domain-containing protein,371,371,
AH-611-P06_NODE_2_16,Imelysin-like domain-containing protein,420,706,
AH-611-P06_NODE_2_17,Ig-like domain-containing protein,110,366,
AH-611-P06_NODE_2_20,Endosomal spry domain-containing protein,96,528,
AH-611-P06_NODE_2_27,Phage protein,101,213,
AH-611-P06_NODE_2_33,Ubiquitin-like protease family profile domain-containing protein,123,445,
AH-611-P06_NODE_2_35,Inner-membrane translocator,622,622,
AH-611-P06_NODE_2_37,SCP2 domain-containing protein,717,764,
AH-611-P06_NODE_2_43,HD domain-containing protein,972,972,PF01966
AH-611-P06_NODE_2_56,Aldehyde dehydrogenase domain-containing protein,237,237,PF00171
AH-611-P07_NODE_10_10,Amino acid ABC transporter permease,1054,1054,PF00528
AH-611-P07_NODE_10_11,Amino acid ABC transporter permease,971,992,
AH-613-A14_NODE_2_8,Extracellular solute-binding protein,1693,1817,
AH-613-A14_NODE_2_20,MFS transporter,1932,1932,PF07690
AH-613-A14_NODE_2_40,EamA domain-containing protein,511,511,
AH-613-A14_NODE_2_41,DUF4286 domain-containing protein,504,504,
AH-613-A14_NODE_2_42,Nuclear transport factor 2 family protein,720,720,PF12680
AH-613-A14_NODE_2_47,DUF4136 domain-containing protein,301,554,
AH-613-A14_NODE_2_78,Methyltransferase domain-containing protein,597,597,PF13489
AH-613-A14_NODE_2_79,Glycosyltransferase,451,451,
AH-613-A18_NODE_5_1,GNAT family N-acetyltransferase,544,544,PF13302
AH-613-A18_NODE_5_12,CCHC-type domain-containing protein,99,104,
AH-613-A18_NODE_5_27,SprT-like domain-containing protein,669,669,
AH-613-A18_NODE_5_31,7-keto-8-aminopelargonate synthetase,2281,2281,PF00155
AH-613-A18_NODE_5_37,DUF4386 domain-containing protein,649,734,
AH-613-A18_NODE_5_51,EamA family transporter,1570,1570,PF00892
AH-613-A18_NODE_5_69,FAD-binding PCMH-type domain-containing protein,840,840,PF01565
AH-613-A18_NODE_5_72,Sulfurtransferase,619,619,PF00581
AH-613-A18_NODE_5_98,"Biphenyl 2,3-dioxygenase",566,566,PF01036
AH-613-A18_NODE_5_102,Uncharacterized protein YegP (UPF0339 family),152,152,PF07411
AH-613-A18_NODE_5_103,Reverse transcriptase domain-containing protein,156,160,
AH-613-A18_NODE_7_4,"Bestrophin, RFP-TM, chloride channel",144,571,
AH-613-A18_NODE_7_6,REJ domain-containing protein,142,142,
AH-613-A18_NODE_7_9,DUF2304 domain-containing protein,82,82,
AH-613-A18_NODE_7_10,Cupin,753,753,PF05899
AH-613-A18_NODE_7_14,DUF4345 domain-containing protein,500,500,
AH-613-A18_NODE_7_20,SnoaL-like domain-containing protein,695,695,
AH-613-A18_NODE_7_26,SHS2 domain-containing protein,76,76,PF11104
AH-613-A18_NODE_7_28,Nicotinamide mononucleotide transporter,321,321,
AH-613-A18_NODE_7_33,DUF1330 domain-containing protein,399,510,
AH-613-A18_NODE_7_34,YCII-related domain-containing protein,457,457,
AH-613-A18_NODE_7_35,ABM domain-containing protein,476,476,
AH-613-A18_NODE_7_39,Metal-dependent membrane protease,326,326,
AH-613-A18_NODE_7_45,DUF4142 domain-containing protein,184,398,
AH-613-A18_NODE_7_46,Mmc1 C-terminal domain-containing protein,74,192,
AH-613-A18_NODE_7_47,DUF3224 domain-containing protein,760,773,
AH-613-A18_NODE_7_57,Fe2OG dioxygenase domain-containing protein,1648,1648,
AH-613-A18_NODE_7_61,ABC transporter permease protein,4649,4649,"PF12704,PF02687"
AH-613-D20_NODE_11_11,KaiC-like domain-containing protein,1175,1175,PF06745
AH-613-D20_NODE_11_16,PRKR-like endoplasmic reticulum kinase,79,498,
AH-613-D20_NODE_11_20,OB domain-containing protein,2787,2787,
AH-613-D20_NODE_11_21,Single-stranded DNA binding protein Ssb-like OB fold domain-containing protein,529,529,PF21473
AH-613-E07_NODE_27_2,Inner-membrane translocator,608,608,
AH-613-E07_NODE_27_4,SCP2 domain-containing protein,718,760,
AH-613-E11_NODE_7_3,Imelysin-like domain-containing protein,431,688,
AH-613-E11_NODE_7_4,C2H2-type domain-containing protein,134,348,
AH-613-E11_NODE_7_7,Homeodomain-like superfamily protein,85,484,
AH-613-E11_NODE_7_13,P-type ATPase N-terminal domain-containing protein,136,445,
AH-613-E11_NODE_7_15,"Transmembrane protein, putative",153,166,
AH-613-E11_NODE_7_17,SCP-2 sterol transfer family protein,712,767,
AH-613-E11_NODE_7_23,HD domain-containing protein,1150,1150,PF01966
AH-613-E11_NODE_7_25,Two component regulator three Y domain-containing protein,904,904,
AH-613-E18_NODE_21_1,YokE-like PH domain-containing protein,217,217,
AH-613-E18_NODE_21_3,Zinc finger CGNR domain-containing protein,465,465,
AH-613-E18_NODE_21_4,DUF3426 domain-containing protein,388,388,
AH-613-E18_NODE_21_6,Zinc finger CGNR domain-containing protein,917,917,
AH-613-E18_NODE_21_9,DinB family protein,636,636,PF12867
AH-613-E18_NODE_21_11,Ketol-acid reductoisomerase,63,63,PF01450
AH-613-E18_NODE_21_12,Helix-hairpin-helix domain-containing protein,68,68,"PF12836,PF10531"
AH-613-E18_NODE_21_13,ABM domain-containing protein,412,412,
AH-613-E18_NODE_21_20,DUF1622 domain-containing protein,140,146,
AH-613-E20_NODE_13_3,Steroid 5-alpha reductase C-terminal domain-containing protein,880,880,PF04191
AH-613-E20_NODE_13_16,AsmA domain-containing protein,1677,1677,
AH-613-E20_NODE_9_8,DUF2258 domain-containing protein,163,193,
AH-613-E20_NODE_9_10,SCP2 domain-containing protein,717,762,
AH-613-E20_NODE_9_16,HD domain-containing protein,1101,1101,PF01966
AH-613-F05_NODE_5_8,Phage protein,101,213,
AH-613-F05_NODE_5_14,Ubiquitin-like protease family profile domain-containing protein,123,445,
AH-613-F05_NODE_5_16,Inner-membrane translocator,624,624,
AH-613-F05_NODE_5_18,SCP2 domain-containing protein,717,764,
AH-613-I09_NODE_4_10,Glycosyl transferase,1326,1326,PF00535
AH-613-I09_NODE_4_11,Steroid 5-alpha reductase C-terminal domain-containing protein,897,897,PF04191
AH-613-I15_NODE_12_4,Ubiquitin-like protease family profile domain-containing protein,123,445,
AH-613-I15_NODE_12_6,Inner-membrane translocator,617,617,
AH-613-I15_NODE_12_8,SCP2 domain-containing protein,711,758,
AH-613-I15_NODE_12_15,HD domain-containing protein,1037,1037,PF01966
AH-613-I15_NODE_8_18,Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,702,1147,
AH-613-J09_NODE_12_12,Transcriptional regulator MarR family protein,174,186,
AH-613-J20_NODE_6_7,Transposase,83,201,
AH-613-J20_NODE_6_10,Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein,776,776,"PF22725,PF01408"
AH-613-J20_NODE_6_14,Protein kinase domain-containing protein,130,445,
AH-613-J20_NODE_6_16,Inner-membrane translocator,613,613,
AH-613-J20_NODE_6_18,SCP2 domain-containing protein,718,754,
AH-613-K13_NODE_1_1,Glycosyl transferase,971,1018,
AH-613-K13_NODE_1_2,Probable deoxygenase,660,666,
AH-613-K13_NODE_1_6,DUF3082 domain-containing protein,86,86,PF11282
AH-613-K13_NODE_1_13,SCP2 domain-containing protein,717,764,
AH-613-K13_NODE_1_15,Inner-membrane translocator,559,559,
AH-613-K13_NODE_1_17,Reverse transcriptase domain-containing protein,148,423,
AH-613-K13_NODE_1_23,Chromo domain-containing protein,95,558,
AH-613-K13_NODE_1_26,CSON004362 protein,113,125,PF12796
AH-613-K13_NODE_1_27,Imelysin-like domain-containing protein,409,652,
AH-613-K13_NODE_1_28,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,2111,2111,PF13231
AH-613-K13_NODE_1_33,Cupin type-1 domain-containing protein,597,597,PF00190
AH-613-K14_NODE_13_18,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,518,518,PF13231
AH-613-K21_NODE_6_7,AP2 domain protein,145,430,
AH-613-K21_NODE_6_9,Inner-membrane translocator,303,303,
AH-613-K21_NODE_6_11,SCP2 domain-containing protein,714,767,
AH-613-K21_NODE_6_18,HD domain-containing protein,950,950,PF01966
AH-613-K21_NODE_6_27,SPOR domain-containing protein,233,257,PF13773
AH-613-K21_NODE_6_33,Fe2OG dioxygenase domain-containing protein,1666,1666,PF23169
AH-613-K21_NODE_6_34,Cytidyltransferase,679,679,
AH-613-L02_NODE_15_4,AsmA domain-containing protein,2916,2916,
AH-613-L02_NODE_15_13,FAD/NAD(P)-binding domain-containing protein,476,476,PF07992
AH-613-L02_NODE_15_17,Steroid 5-alpha reductase C-terminal domain-containing protein,833,833,PF04191
AH-613-L15_NODE_6_12,HD domain-containing protein,1001,1001,PF01966
AH-613-L15_NODE_6_18,SCP2 domain-containing protein,720,764,
AH-613-L15_NODE_6_20,Inner-membrane translocator,624,624,
AH-613-L15_NODE_6_22,SFRICE_010697,125,457,
AH-613-L15_NODE_6_28,Phage protein,101,213,
AH-613-M03_NODE_6_1,ABC transporter domain-containing protein,79,369,
AH-613-M03_NODE_6_13,AP2 domain protein,148,442,
AH-613-M03_NODE_6_15,DRBM domain-containing protein,170,175,
AH-613-M03_NODE_6_17,SCP2 domain-containing protein,717,768,
AH-613-M03_NODE_6_26,EamA domain-containing protein,1295,1295,PF00892
AH-613-M03_NODE_6_34,Tetratricopeptide repeat protein,142,246,
AH-613-M11_NODE_2_5,HD domain-containing protein,1031,1031,PF01966
AH-613-M11_NODE_2_13,SCP2 domain-containing protein,720,764,
AH-613-M11_NODE_2_15,Inner-membrane translocator,603,603,
AH-613-M11_NODE_2_17,CSON001477 protein,122,450,
AH-613-M11_NODE_2_24,PIR Superfamily Protein,87,199,
AH-613-M11_NODE_2_32,ABC transporter domain-containing protein,80,80,PF00005
AH-613-N14_NODE_2_1,Kinesin-like protein BC2,113,120,PF15038
AH-613-N14_NODE_2_7,Basal-body rod modification protein FlgD,71,71,"PF13860,PF03963,PF13861"
AH-613-N14_NODE_2_14,F-box domain-containing protein,131,446,
AH-613-N14_NODE_2_16,Inner-membrane translocator,594,594,
AH-613-N14_NODE_2_18,SCP2 domain-containing protein,719,767,
AH-613-N14_NODE_2_25,HD domain-containing protein,1040,1040,PF01966
AH-613-O14_NODE_1_3,RNA polymerase-binding protein RbpA,479,493,
AH-613-O14_NODE_1_26,NIPSNAP domain-containing protein,1218,1218,
AH-613-O14_NODE_1_31,Suppressor of fused-like domain-containing protein,755,755,
AH-613-O14_NODE_1_41,DUF4352 domain-containing protein,74,74,
AH-613-O14_NODE_1_46,PASTA domain-containing protein,824,824,
AH-735-A03_NODE_3_2,Prepilin-type cleavage/methylation N-terminal domain protein,139,139,
AH-735-A03_NODE_3_8,Spore coat protein U domain-containing protein,549,549,
AH-735-A03_NODE_3_19,MFS transporter,1991,1991,PF07690
AH-735-A03_NODE_3_30,Peptidase C-terminal archaeal/bacterial domain-containing protein,665,679,
AH-735-A03_NODE_3_32,HD domain-containing protein,974,974,PF01966
AH-735-A03_NODE_3_38,SCP2 domain-containing protein,717,764,
AH-735-A03_NODE_3_40,Inner-membrane translocator,624,624,
AH-735-A03_NODE_3_42,Ubiquitin-like protease family profile domain-containing protein,123,445,
AH-735-A03_NODE_3_48,Phage protein,101,213,
AH-735-A06_NODE_8_1,ABC transporter domain-containing protein,79,350,
AH-735-A06_NODE_8_5,Beta-lactamase-related domain-containing protein,134,466,
AH-735-A06_NODE_8_7,SAP domain-containing protein,131,131,
AH-735-A06_NODE_8_9,SCP2 domain-containing protein,699,767,
AH-735-A06_NODE_8_13,NADH dehydrogenase subunit 6,130,130,
AH-735-A06_NODE_8_14,Inorganic phosphate transporter,1350,1350,
AH-735-A06_NODE_8_26,Septation ring formation regulator EzrA,308,308,
AH-735-A10_NODE_2_17,Steroid 5-alpha reductase C-terminal domain-containing protein,915,915,PF04191
AH-735-A14_NODE_1_5,Flagellar protein FlaG,147,581,
AH-735-A14_NODE_1_16,SCP2 domain-containing protein,714,775,
AH-735-A14_NODE_1_18,Putative histone deacetylase 4,105,105,
AH-735-A14_NODE_1_20,PD-(D/E)XK nuclease-like domain-containing protein,134,461,
AH-735-A14_NODE_1_25,SFRICE_003367 (Thymosin beta isoform X1),93,665,
AH-735-A14_NODE_1_28,YHS domain-containing protein,308,385,
AH-735-A14_NODE_1_29,Imelysin-like domain-containing protein,412,651,
AH-735-A14_NODE_1_35,Winged helix DNA-binding domain-containing protein,531,537,
AH-735-A14_NODE_1_39,Discoidin domain-containing protein,127,465,
AH-735-A17_NODE_1_6,Carrier domain-containing protein,377,377,
AH-735-A17_NODE_1_9,Acyl carrier protein,391,391,PF00550
AH-735-A17_NODE_1_12,30S ribosomal protein S7,334,334,
AH-735-A17_NODE_1_23,SCP2 domain-containing protein,703,768,
AH-735-A17_NODE_1_25,Putative histone deacetylase 4,105,105,
AH-735-A17_NODE_1_27,Beta-lactamase-related domain-containing protein,142,471,
AH-735-A17_NODE_1_33,SFRICE_003367 (Thymosin beta isoform X1),83,664,
AH-735-A17_NODE_1_36,C2H2-type domain-containing protein,142,370,
AH-735-A17_NODE_1_37,Imelysin-like domain-containing protein,423,667,
AH-735-A17_NODE_1_40,DUF4124 domain-containing protein,402,710,
AH-735-A17_NODE_1_42,Purine-binding protein,100,111,
AH-735-A17_NODE_1_45,CsbD-like domain-containing protein,149,149,
AH-735-A17_NODE_1_46,DUF3990 domain-containing protein,95,436,
AH-735-A17_NODE_1_60,Class I SAM-dependent methyltransferase,958,958,PF13578
AH-735-A17_NODE_1_61,SGNH hydrolase-type esterase domain-containing protein,1212,1212,
AH-735-A17_NODE_1_104,SPOR domain-containing protein,1102,1102,
AH-735-A17_NODE_1_114,Sulfurase,823,823,PF03473
AH-735-A17_NODE_1_115,Prepilin-type N-terminal cleavage/methylation domain-containing protein,154,163,
AH-735-A17_NODE_1_116,DUF2029 domain-containing protein,357,376,
AH-735-B03_NODE_1_20,GAT domain-containing protein,109,115,
AH-735-B03_NODE_1_21,Molecular chaperone Tir,1401,1401,PF02493
AH-735-B03_NODE_1_22,MORN motif-containing protein,1900,1900,PF02493
AH-735-B03_NODE_1_38,Crossover junction endodeoxyribonuclease,833,833,"PF02075,PF07066"
AH-735-B03_NODE_1_41,Cell envelope biogenesis protein TolA,931,931,
AH-735-B03_NODE_1_57,Transport permease protein,1240,1240,PF01061
AH-735-B03_NODE_1_60,Exonuclease VII small subunit,337,337,
AH-735-B03_NODE_1_72,Putative sugar O-methyltransferase (EC 2.1.1.-),1016,1052,
AH-735-B03_NODE_1_81,Glycosyl transferase,1526,1526,PF00535
AH-735-B20_NODE_9_2,Zinc ribbon domain-containing protein,123,132,
AH-735-B20_NODE_9_4,DUF4286 domain-containing protein,537,537,
AH-735-B20_NODE_9_6,YCII-related domain-containing protein,477,477,
AH-735-B20_NODE_9_7,SGNH hydrolase-type esterase domain-containing protein,1429,1429,
AH-735-B20_NODE_9_10,Transglutaminase-like domain-containing protein,619,619,
AH-735-B20_NODE_9_16,HicB-like antitoxin of toxin-antitoxin system domain-containing protein,163,385,
AH-735-B20_NODE_9_18,Inner-membrane translocator,550,550,
AH-735-B20_NODE_9_20,SCP2 domain-containing protein,692,770,
AH-735-B20_NODE_9_25,C2H2-type domain-containing protein,96,111,
AH-735-C13_NODE_10_11,FAD-binding PCMH-type domain-containing protein,817,817,PF01565
AH-735-C13_NODE_10_14,Sulfurtransferase,656,656,PF00581
AH-735-C13_NODE_10_38,DUF1508 domain-containing protein,139,146,
AH-735-C13_NODE_10_39,DUF659 domain-containing protein,173,173,
AH-735-C13_NODE_10_51,Porin domain-containing protein,991,991,
AH-735-C17_NODE_38_5,SCP2 domain-containing protein,703,744,
AH-735-C17_NODE_38_7,Inner-membrane translocator,617,617,
AH-735-D04_NODE_1_8,DRBM domain-containing protein,275,442,
AH-735-D04_NODE_1_10,DUF4364 family protein,149,156,
AH-735-D04_NODE_1_12,SCP2 domain-containing protein,693,767,
AH-735-D04_NODE_1_24,Cyclin-J,82,202,
AH-735-D04_NODE_1_26,SPOR domain-containing protein,140,396,
AH-735-D04_NODE_1_29,Imelysin-like domain-containing protein,613,613,
AH-735-D04_NODE_1_34,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase),1131,1131,PF21948
AH-735-D04_NODE_1_85,Cytidyltransferase,559,577,
AH-735-D04_NODE_1_86,DUF3887 domain-containing protein,630,639,
AH-735-D04_NODE_1_89,Adenylyl-sulfate reductase,1254,1254,
AH-735-D04_NODE_1_90,Intracellular septation protein A,705,705,
AH-735-D20_NODE_1_2,RING/Ubox-like zinc-binding domain-containing protein,109,219,
AH-735-D20_NODE_1_9,Uncharacterized protein LOC115481856,131,457,
AH-735-D20_NODE_1_11,"Transmembrane protein, putative",158,172,
AH-735-D20_NODE_1_13,SCP2 domain-containing protein,718,754,
AH-735-D20_NODE_1_19,HD domain-containing protein,1033,1033,PF01966
AH-735-D20_NODE_1_22,ArpA protein,1335,1355,
AH-735-D20_NODE_1_24,Membrane-associated protein,385,385,
AH-735-D20_NODE_1_60,Spore coat protein U domain-containing protein,695,695,
AH-735-D20_NODE_20_1,AsmA domain-containing protein,330,330,
AH-735-D20_NODE_20_13,Steroid 5-alpha reductase C-terminal domain-containing protein,926,926,PF04191
AH-735-D20_NODE_20_15,Glycosyl transferase,1222,1419,
AH-735-E02_NODE_7_2,Phage protein,154,195,
AH-735-E02_NODE_7_3,"WGS project CABT00000000 data, contig 2.16",91,92,
AH-735-E02_NODE_7_4,Molecular chaperone Tir,673,673,PF02493
AH-735-E02_NODE_7_5,Imelysin-like domain-containing protein,423,667,
AH-735-E02_NODE_7_6,YHS domain-containing protein,326,368,
AH-735-E02_NODE_7_9,Thymosin beta isoform X1 (Thymosin beta isoform X2),82,653,
AH-735-E02_NODE_7_15,Beta-lactamase-related domain-containing protein,144,463,
AH-735-E02_NODE_7_17,Putative histone deacetylase 4,105,105,
AH-735-E02_NODE_7_19,SCP2 domain-containing protein,712,771,
AH-735-E02_NODE_7_34,Septation ring formation regulator EzrA,299,299,
AH-735-E02_NODE_7_41,Peptidyl-prolyl cis-trans isomerase plp,872,872,
AH-735-E08_NODE_2_7,DRBM domain-containing protein,274,452,
AH-735-E08_NODE_2_9,DRBM domain-containing protein,166,166,
AH-735-E08_NODE_2_11,SCP2 domain-containing protein,705,756,
AH-735-E08_NODE_2_18,HD domain-containing protein,1040,1040,PF01966
AH-735-E08_NODE_2_24,DUF1468 domain-containing protein,584,584,PF07331
AH-735-E08_NODE_2_43,MFS transporter,1998,1998,PF07690
AH-735-E08_NODE_2_62,Tetratricopeptide repeat-containing protein,944,944,"PF13174,PF00515,PF13181,PF13414,PF13432,PF07719"
AH-735-E08_NODE_3_7,Amidohydrolase-related domain-containing protein,238,238,
AH-735-E08_NODE_3_16,Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,691,1142,
AH-735-E08_NODE_3_18,Steroid 5-alpha reductase C-terminal domain-containing protein,910,910,PF04191
AH-735-E08_NODE_3_20,Transposase zinc-binding domain-containing protein,229,236,
AH-735-E08_NODE_3_33,Glycosyl transferase,1476,1476,PF01501
AH-735-E08_NODE_3_36,Tetratricopeptide repeat protein,419,546,
AH-735-E08_NODE_3_47,Ancillary SecYEG translocon subunit/Cell division coordinator CpoB TPR domain-containing protein,783,800,
AH-735-E08_NODE_3_49,AraC-type arabinose-binding/dimerisation domain-containing protein,769,769,
AH-735-E08_NODE_3_50,G_PROTEIN_RECEP_F1_2 domain-containing protein,74,161,
